,data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_novos,recuperados,obitos,internados,internados_uci,vigilancia,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,ativos,internados_enfermaria,month,day,year,time
0,26-02-2020,2020-02-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,26,2020,00:00:00
1,27-02-2020,2020-02-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,27,2020,00:00:00
2,28-02-2020,2020-02-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,28,2020,00:00:00
3,29-02-2020,2020-02-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,29,2020,00:00:00
4,01-03-2020,2020-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,3,2020,00:00:00
5,02-03-2020,2020-02-03 00:00:00,2,2,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,3,2020,00:00:00
6,03-03-2020,2020-03-03 16:00:00,4,2,1,1,0,0,0,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4.0,0.0,3,3,2020,16:00:00
7,04-03-2020,2020-04-03 17:00:00,6,3,1,2,0,0,0,0,2,0,0,,,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,6.0,0.0,4,3,2020,17:00:00
8,05-03-2020,2020-05-03 17:00:00,9,5,1,3,0,0,0,0,3,0,0,9.0,,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.0,0.0,5,3,2020,17:00:00
9,06-03-2020,2020-06-03 17:00:00,13,8,1,4,0,0,0,0,4,0,0,13.0,,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,13.0,0.0,6,3,2020,17:00:00
10,07-03-2020,2020-07-03 17:00:00,21,15,1,5,0,0,0,0,8,0,0,21.0,,412.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21.0,0.0,7,3,2020,17:00:00
11,08-03-2020,2020-08-03 17:30:00,30,22,1,6,0,1,0,0,9,0,0,30.0,,447.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,30.0,0.0,8,3,2020,17:30:00
12,09-03-2020,2020-09-03 18:45:00,39,27,1,9,0,2,0,0,9,0,0,38.0,,496.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,4.0,7.0,7.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,39.0,0.0,9,3,2020,18:45:00
13,10-03-2020,2020-10-03 10:00:00,41,27,2,10,0,2,0,0,2,0,0,40.0,,667.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,4.0,7.0,7.0,1.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,41.0,40.0,10,3,2020,10:00:00
14,11-03-2020,2020-11-03 00:00:00,59,36,3,17,0,3,0,0,18,0,0,57.0,,3066.0,0.0,1.0,6.0,5.0,1.0,3.0,5.0,4.0,9.0,7.0,1.0,4.0,1.0,5.0,3.0,2.0,0.0,2.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,59.0,57.0,11,3,2020,00:00:00
15,12-03-2020,2020-12-03 00:00:00,78,44,5,23,0,5,0,0,19,0,0,69.0,,4923.0,0.0,1.0,7.0,5.0,1.0,6.0,6.0,8.0,10.0,11.0,1.0,8.0,1.0,6.0,3.0,2.0,0.0,2.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,78.0,69.0,12,3,2020,00:00:00
16,13-03-2020,2020-03-13 00:00:00,112,53,6,46,0,6,0,0,34,0,0,107.0,,5674.0,0.0,1.0,10.0,5.0,3.0,8.0,9.0,15.0,14.0,14.0,2.0,12.0,3.0,8.0,3.0,3.0,0.0,2.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,112.0,107.0,3,13,2020,00:00:00
17,14-03-2020,2020-03-14 00:00:00,169,77,8,73,0,7,0,0,57,1,0,114.0,10.0,5011.0,0.0,1.0,13.0,6.0,7.0,12.0,17.0,20.0,19.0,22.0,5.0,21.0,3.0,9.0,4.0,7.0,1.0,2.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,168.0,104.0,3,14,2020,00:00:00
18,15-03-2020,2020-03-15 00:00:00,245,103,10,116,0,10,1,0,76,2,0,139.0,9.0,4592.0,0.0,1.0,17.0,8.0,12.0,16.0,25.0,30.0,27.0,26.0,16.0,27.0,6.0,12.0,5.0,12.0,3.0,2.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,243.0,130.0,3,15,2020,00:00:00
19,16-03-2020,2020-03-16 00:00:00,331,138,31,142,0,13,1,0,86,3,0,139.0,18.0,4592.0,2.0,1.0,17.0,10.0,17.0,21.0,30.0,35.0,32.0,36.0,21.0,31.0,11.0,26.0,10.0,18.0,8.0,4.0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,327.0,121.0,3,16,2020,00:00:00
20,17-03-2020,2020-03-17 00:00:00,448,196,51,180,0,14,1,0,117,3,1,206.0,17.0,6852.0,2.0,1.0,19.0,13.0,21.0,34.0,37.0,51.0,47.0,46.0,32.0,41.0,18.0,34.0,13.0,22.0,12.0,5.0,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,444.0,189.0,3,17,2020,00:00:00
21,18-03-2020,2020-03-18 00:00:00,642,289,74,243,2,21,3,1,194,3,1,89.0,20.0,6656.0,13.0,3.0,21.0,15.0,42.0,45.0,55.0,62.0,75.0,63.0,50.0,42.0,49.0,28.0,32.0,17.0,11.0,19.0,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,637.0,69.0,3,18,2020,00:00:00
22,19-03-2020,2020-03-19 00:00:00,785,381,86,278,2,25,3,1,143,3,3,89.0,20.0,8091.0,14.0,3.0,22.0,17.0,51.0,51.0,75.0,71.0,89.0,78.0,60.0,61.0,35.0,61.0,23.0,36.0,21.0,17.0,390.0,395.0,0,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,779.0,69.0,3,19,2020,00:00:00
23,20-03-2020,2020-03-20 00:00:00,1020,506,106,361,2,29,3,1,235,5,6,126.0,26.0,9008.0,14.0,4.0,23.0,21.0,65.0,61.0,92.0,95.0,106.0,90.0,90.0,84.0,53.0,79.0,35.0,55.0,27.0,25.0,506.0,514.0,1,2,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,1009.0,100.0,3,20,2020,00:00:00
24,21-03-2020,2020-03-21 00:00:00,1280,644,137,448,3,31,3,5,260,5,12,156.0,35.0,13155.0,14.0,4.0,27.0,22.0,89.0,68.0,118.0,116.0,133.0,109.0,113.0,101.0,75.0,105.0,42.0,71.0,38.0,35.0,649.0,631.0,4,4,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,1268.0,121.0,3,21,2020,00:00:00
25,22-03-2020,2020-03-22 00:00:00,1600,825,180,534,5,35,4,7,320,5,14,169.0,41.0,12562.0,17.0,6.0,31.0,26.0,105.0,82.0,148.0,140.0,173.0,141.0,154.0,128.0,91.0,122.0,51.0,90.0,51.0,44.0,821.0,779.0,5,4,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,1591.0,128.0,3,22,2020,00:00:00
26,23-03-2020,2020-03-23 00:00:00,2060,1007,238,737,5,42,11,9,460,14,23,201.0,47.0,11842.0,18.0,7.0,36.0,30.0,140.0,100.0,181.0,166.0,226.0,178.0,194.0,167.0,127.0,167.0,73.0,107.0,85.0,58.0,1080.0,980.0,9,5,8,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2023.0,154.0,3,23,2020,00:00:00
27,24-03-2020,2020-03-24 00:00:00,2362,1130,293,852,6,46,12,12,302,22,33,203.0,48.0,11842.0,18.0,7.0,35.0,30.0,145.0,133.0,206.0,188.0,224.0,224.0,215.0,208.0,190.0,158.0,106.0,107.0,95.0,73.0,1234.0,1128.0,14,6,12,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,5.0,9.0,12.0,10.0,23.0,2307.0,155.0,3,24,2020,00:00:00
